,Country.Name,Country.Code,Year,GDP per capita (current US$),Gini index,"Unemployment, total (% of total labor force) (national estimate)","Inflation, consumer prices (annual %)",Exports of goods and services (% of GDP),Gross capital formation (% of GDP),"Life expectancy at birth, total (years)","School enrollment, tertiary (% gross)",Current health expenditure per capita (current US$),Population growth (annual %),Access to electricity (% of population),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),Urban population (% of total population)
109,"Korea, Rep.",KOR,2017,31600.73587,34.9,3.653,1.944332308,40.93420694,32.28806347,82.62682927,93.72302246,2220.564209,0.280968018,100,95.0694,123.581176,81.503
110,"Korea, Rep.",KOR,2018,33447.15628,33.7,3.824,1.47583935,41.71329084,31.48718418,82.62682927,93.32817841,2501.139648,0.433519028,100,96.0229,128.4051056,81.459
111,"Korea, Rep.",KOR,2019,31902.4169,33.2,3.746,0.383000304,39.27586107,31.49493367,83.22682927,93.99891663,2605.993408,0.347874969,100,96.1576,132.9873505,81.43
112,"Korea, Rep.",KOR,2020,31721.29891,32.7,3.931,0.537288023,36.35959055,31.88458527,83.42682927,96.87677002,2648.224121,0.137869266,100,96.5051,136.0094467,81.414
113,"Korea, Rep.",KOR,2021,35125.5225,32.9,3.639,2.498333333,41.8772295,32.32719378,83.52682927,100.3176804,3260.44873,-0.128757315,100,97.5713,140.5658819,81.414
114,Mexico,MEX,2000,7524.027137,53.4,2.646,9.491561494,24.23117347,22.26492461,73.569,20.52597046,321.801239,1.542725282,98,5.08138,14.38375898,74.722
115,Mexico,MEX,2002,7983.033985,50.6,3.003,5.030727332,21.85176192,20.40842562,74.106,22.31535912,388.0279236,1.437705268,97.9,11.9,25.69264365,75.365
116,Mexico,MEX,2004,7849.667596,50.3,3.937,4.688408848,25.10335601,22.04617823,74.372,23.7031498,448.0602112,1.365308315,98.6,14.1,36.99151884,75.997
117,Mexico,MEX,2005,8671.758919,50.9,3.558,3.988057146,25.48707383,21.52214597,74.376,24.13098907,485.6738892,1.348578958,98.9,17.21,44.69619916,76.308
118,Mexico,MEX,2006,9512.635753,49.7,3.566,3.629467624,26.55474817,22.56410295,74.331,24.56896973,516.0639648,1.353749207,99.1,19.52,51.82629303,76.616
119,Mexico,MEX,2008,10523.76854,50.8,3.874,5.124982746,27.02006123,24.12131589,74.152,25.7789402,576.7153931,1.460156328,98.9,21.71,68.65461989,77.222
120,Mexico,MEX,2010,9728.800784,47.7,5.303,4.156727227,29.01746012,23.33148941,74.19,27.1670208,539.2655029,1.439744726,99.2,31.05,81.2063834,77.815
121,Mexico,MEX,2012,10744.13352,49.6,4.892,4.111509811,31.53945039,24.37773906,74.574,29.34964943,587.8284302,1.357163279,99.1,39.75,87.0169211,78.405
122,Mexico,MEX,2014,11391.37735,48.9,4.819,4.018616081,31.4629922,22.29327598,74.797,31.20528984,615.1031494,1.21002703,99.2,44.3857,88.37316756,78.993
123,Mexico,MEX,2016,9097.923977,46.9,3.853,2.821707847,36.81567725,24.34339234,74.412,38.58977127,492.8739929,0.969124205,99.5,59.5404,91.94482417,79.577
124,Mexico,MEX,2018,10084.79376,46,3.275,4.899350154,39.04393044,23.47749306,74.015,41.63827896,530.6478272,0.946602355,99.5,56.6596,96.89668563,80.156
125,Mexico,MEX,2020,8841.27075,44.6,4.441,3.396834156,39.23537209,20.23665935,70.133,45.16545105,538.5175171,0.820454118,99.4,71.4902,97.53972081,80.731
126,Netherlands,NLD,2004,40611.34144,29.8,4.646,1.263647392,62.59591815,20.23541452,79.09512195,56.77098846,3689,0.347475412,100,68.52,91.38038468,81.514
127,Netherlands,NLD,2005,42165.39617,29,5.873,1.688130179,65.58589244,20.39134224,79.34634146,58.78950119,3823,0.233663148,100,81,97.3691093,82.63
128,Netherlands,NLD,2006,45123.54324,30,5.007,1.101501065,68.14572964,20.93527213,79.69756098,59.82651138,4080,0.160613669,100,83.7,105.9435391,83.636
129,Netherlands,NLD,2007,52100.79963,29.6,4.153,1.613858598,68.71004777,23.22861387,80.09756098,60.39403915,4696,0.217521601,100,85.82,117.6543655,84.539
130,Netherlands,NLD,2008,58246.70269,29.3,3.658,2.486501983,69.60566499,22.20593,80.25121951,61.01705933,5382,0.389292461,100,87.42,125.3100554,85.402
131,Netherlands,NLD,2009,53172.02616,27.9,4.352,1.18977687,61.60181411,20.57673052,80.54878049,61.42800903,5283,0.514284545,100,89.63,121.8477658,86.288
132,Netherlands,NLD,2010,51305.73385,27.8,4.991,1.275305696,69.28736497,20.03710604,80.70243902,63.70497894,5192,0.512923101,100,90.72,115.4171328,87.134
133,Netherlands,NLD,2011,54701.7728,27.8,4.977,2.341070178,75.17518708,19.91164809,81.20487805,75.51879883,5562,0.466428782,100,91.42,118.7279121,87.879
134,Netherlands,NLD,2012,50473.9442,27.6,5.821,2.455547653,79.57559037,18.58265779,81.10487805,75.81416321,5285,0.370055035,100,92.86,117.4658849,88.588
135,Netherlands,NLD,2015,45793.81354,28.2,6.872,0.600248147,83.99184753,22.16998605,81.5097561,80.16014862,4677,0.443220089,100,91.7241,122.1109286,90.173
136,Netherlands,NLD,2016,46808.52915,28.2,6.007,0.316666667,80.90950116,19.77644323,81.56097561,79.8454895,4644,0.53217888,100,90.411,121.9889276,90.635
137,Netherlands,NLD,2017,49513.68173,28.5,4.837,1.381458714,85.17954721,20.21519296,81.76097561,83.20098877,4935,0.591203366,100,93.1973,119.3221581,91.077
138,Netherlands,NLD,2018,53955.077,28.1,3.832,1.703497947,87.05645945,20.48044325,81.81219512,83.65247345,5331,0.583933409,100,91.8919,122.1100816,91.49
139,Netherlands,NLD,2020,53467.92774,26,3.82,1.272460378,81.24152595,21.35197798,81.35853659,85.33708191,5858,0.55554079,100,91.3333,122.8307665,92.236
140,Netherlands,NLD,2021,60141.98809,25.7,4.209,2.675720088,86.4500028,22.19381975,81.3097561,89.38986206,6539,0.523490508,100,92.053,125.0621654,92.572
141,Russian Federation,RUS,2014,14055.47266,36.9,5.212,7.823411839,27.11109705,22.39086423,70.74365854,84.5181427,740,0.299667432,100,70.5176,152.7878864,73.95
142,Russian Federation,RUS,2015,9277.713867,36.5,5.615,15.53440505,28.70338944,22.14872532,71.18341463,84.23557281,499,0.279352078,95.5,70.0992,156.7665611,74.05
143,Russian Federation,RUS,2016,8663.158203,36.7,5.591,7.04244763,25.85448298,23.09542247,71.65121951,83.86003876,465,0.258751057,99.4,73.0914,157.718498,74.164
144,Russian Federation,RUS,2017,10658.91309,35.5,5.238,3.683329444,26.09088098,23.60675586,72.45146341,81.70510101,580,0.191382529,100,76.0081,156.187408,74.292
